"Date","Discharge.m3s","Site","Sample"
2002-11-11,0.00016882273386879,"CCBP","CCBP_UP_3"
2002-11-12,0.000176809080273578,"CCBP","CCBP_UP_3"
2002-11-13,0.00058965476061915,"CCBP","CCBP_UP_3"
2002-11-14,0.000500963169883909,"CCBP","CCBP_UP_3"
2002-11-15,0.000414018537392009,"CCBP","CCBP_UP_3"
2002-11-16,0.000394558972282217,"CCBP","CCBP_UP_3"
2002-11-17,0.00159332101444384,"CCBP","CCBP_UP_3"
2002-11-18,0.00245379480685295,"CCBP","CCBP_UP_3"
2002-11-19,0.00151082830779788,"CCBP","CCBP_UP_3"
2002-11-20,0.00102608085515659,"CCBP","CCBP_UP_3"
2002-11-21,0.00080793296661267,"CCBP","CCBP_UP_3"
2002-11-22,0.0012123643662257,"CCBP","CCBP_UP_3"
2002-11-23,0.00110638634190515,"CCBP","CCBP_UP_3"
2002-11-24,0.000807131690402268,"CCBP","CCBP_UP_3"
2002-11-25,0.000654776503442224,"CCBP","CCBP_UP_3"
2002-11-26,0.000640939960178186,"CCBP","CCBP_UP_3"
2002-11-27,0.000630479343277538,"CCBP","CCBP_UP_3"
2002-11-28,0.00058363902537797,"CCBP","CCBP_UP_3"
2002-11-29,0.000514664112558496,"CCBP","CCBP_UP_3"
2002-11-30,0.000518397531384989,"CCBP","CCBP_UP_3"
2002-12-01,0.000531390533319835,"CCBP","CCBP_UP_3"
2002-12-02,0.000463377151952843,"CCBP","CCBP_UP_3"
2002-12-03,0.000444181039416847,"CCBP","CCBP_UP_3"
